date,retail_volume,unemployment_rate,consumer_confidence,industrial_production,hicp,industry_confidence,construction_confidence,economic_sentiment,employment_expectations,industry_employment_expectations,construction_production,retail_employment,industrial_turnover
2008-01,123.4000000000,9.1000000000,-7.8000000000,130.9000000000,71.4300000000,-5.0000000000,-7.8000000000,95.5000000000,99.7000000000,-5.3000000000,196.4000000000,106.8000000000,107.5000000000
2008-02,122.7000000000,9.3000000000,-20.1000000000,133.1000000000,71.5300000000,-8.5000000000,-20.1000000000,91.6000000000,97.1000000000,-8.5000000000,194.8000000000,106.9000000000,110.3000000000
2008-03,121.0000000000,9.5000000000,-21.6000000000,125.9000000000,72.1800000000,-9.8000000000,-21.6000000000,89.1000000000,95.0000000000,-5.9000000000,189.9000000000,106.8000000000,107.1000000000
2008-04,122.1000000000,10.0000000000,-21.7000000000,130.0000000000,72.9600000000,-10.4000000000,-21.7000000000,88.5000000000,93.9000000000,-9.6000000000,188.7000000000,106.7000000000,107.6000000000
2008-05,120.2000000000,10.4000000000,-15.2000000000,124.6000000000,73.4600000000,-14.6000000000,-15.2000000000,87.6000000000,93.1000000000,-12.7000000000,184.6000000000,106.6000000000,107.5000000000
2008-06,117.8000000000,10.8000000000,-16.6000000000,120.6000000000,73.8900000000,-17.7000000000,-16.6000000000,81.0000000000,87.9000000000,-8.8000000000,180.2000000000,106.2000000000,104.2000000000
2008-07,118.8000000000,11.1000000000,-28.4000000000,123.7000000000,73.5500000000,-15.8000000000,-28.4000000000,85.1000000000,90.6000000000,-11.8000000000,179.3000000000,106.1000000000,107.5000000000
2008-08,117.8000000000,11.5000000000,-17.1000000000,118.9000000000,73.4100000000,-18.9000000000,-17.1000000000,80.3000000000,84.2000000000,-12.3000000000,176.6000000000,105.6000000000,104.9000000000
2008-09,117.4000000000,12.0000000000,-25.9000000000,119.0000000000,73.3700000000,-22.1000000000,-25.9000000000,78.2000000000,85.1000000000,-16.1000000000,171.0000000000,105.4000000000,101.4000000000
2008-10,117.0000000000,12.9000000000,-41.5000000000,114.9000000000,73.6200000000,-28.6000000000,-41.5000000000,73.8000000000,82.5000000000,-26.8000000000,169.4000000000,104.9000000000,92.0000000000
2008-11,116.6000000000,13.8000000000,-28.4000000000,111.3000000000,73.3000000000,-32.1000000000,-28.4000000000,72.4000000000,83.4000000000,-27.3000000000,162.9000000000,104.5000000000,86.4000000000
2008-12,114.2000000000,14.8000000000,-33.5000000000,103.8000000000,72.9300000000,-37.4000000000,-33.5000000000,67.6000000000,77.3000000000,-32.4000000000,161.3000000000,104.0000000000,84.1000000000
2009-01,115.2000000000,15.9000000000,-39.1000000000,101.9000000000,72.0000000000,-34.0000000000,-39.1000000000,69.7000000000,78.1000000000,-31.9000000000,161.7000000000,103.6000000000,78.7000000000
2009-02,112.7000000000,16.8000000000,-37.4000000000,101.9000000000,72.0200000000,-37.3000000000,-37.4000000000,66.9000000000,72.6000000000,-33.4000000000,166.6000000000,103.1000000000,76.6000000000
2009-03,111.6000000000,17.5000000000,-38.6000000000,99.0000000000,72.1300000000,-38.3000000000,-38.6000000000,67.6000000000,76.8000000000,-33.8000000000,153.9000000000,102.7000000000,77.0000000000
2009-04,113.1000000000,17.8000000000,-40.1000000000,101.0000000000,72.8500000000,-32.7000000000,-40.1000000000,74.0000000000,77.7000000000,-29.4000000000,150.5000000000,102.3000000000,79.0000000000
2009-05,112.5000000000,17.9000000000,-30.1000000000,99.8000000000,72.8200000000,-32.0000000000,-30.1000000000,76.3000000000,83.5000000000,-28.8000000000,150.5000000000,102.0000000000,78.5000000000
2009-06,112.4000000000,17.9000000000,-31.6000000000,100.9000000000,73.1800000000,-31.8000000000,-31.6000000000,75.9000000000,82.5000000000,-25.4000000000,161.1000000000,101.6000000000,79.6000000000
2009-07,112.8000000000,18.0000000000,-29.8000000000,102.6000000000,72.5800000000,-27.6000000000,-29.8000000000,80.9000000000,83.1000000000,-20.0000000000,156.6000000000,101.4000000000,80.6000000000
2009-08,112.3000000000,18.2000000000,-23.6000000000,104.2000000000,72.8700000000,-22.8000000000,-23.6000000000,86.4000000000,85.7000000000,-18.9000000000,154.7000000000,101.2000000000,82.9000000000
2009-09,112.7000000000,18.4000000000,-21.5000000000,103.3000000000,72.6900000000,-24.4000000000,-21.5000000000,84.3000000000,84.2000000000,-22.3000000000,154.5000000000,101.1000000000,81.0000000000
2009-10,111.8000000000,18.6000000000,-35.4000000000,103.1000000000,73.2000000000,-21.7000000000,-35.4000000000,85.9000000000,84.9000000000,-18.9000000000,150.9000000000,100.9000000000,81.3000000000
