case_name,path,rank,source,target,lag,weight,score,sample_count,transform
spain_retail_eurostat_2008_2025,legacy_level_scoring,1,industrial_production,retail_volume,1,0.7905867108,0.7905867108,191,none
spain_retail_eurostat_2008_2025,legacy_level_scoring,2,unemployment_rate,retail_volume,2,-0.5998244268,0.5998244268,190,none
spain_retail_eurostat_2008_2025,legacy_level_scoring,3,consumer_confidence,retail_volume,2,0.2790333163,0.2790333163,190,none
spain_retail_eurostat_2008_2025,legacy_level_scoring,4,hicp,retail_volume,1,-0.2546661414,0.2546661414,191,none
spain_retail_eurostat_2008_2025,s7_transformed_scoring,1,industrial_production,retail_volume,2,-0.3548560704,0.3548560704,189,diff
spain_retail_eurostat_2008_2025,s7_transformed_scoring,2,hicp,retail_volume,2,0.1525582070,0.1525582070,189,diff
spain_retail_eurostat_2008_2025,s7_transformed_scoring,3,unemployment_rate,retail_volume,2,0.1041165392,0.1041165392,189,diff
spain_retail_eurostat_2008_2025,s7_transformed_scoring,4,consumer_confidence,retail_volume,2,-0.0357951241,0.0357951241,189,diff
spain_industrial_production_eurostat_2008_2023,legacy_level_scoring,1,domestic_energy_producer_prices,industrial_production,3,-0.3571490732,0.3571490732,165,none
spain_industrial_production_eurostat_2008_2023,legacy_level_scoring,2,order_book_assessment,industrial_production,1,0.2648774387,0.2648774387,167,none
spain_industrial_production_eurostat_2008_2023,legacy_level_scoring,3,manufacturing_employment_expectations,industrial_production,1,0.1768230000,0.1768230000,167,none
spain_industrial_production_eurostat_2008_2023,legacy_level_scoring,4,production_expectations,industrial_production,1,0.1468723066,0.1468723066,167,none
spain_industrial_production_eurostat_2008_2023,s7_transformed_scoring,1,domestic_energy_producer_prices,industrial_production,1,0.1628521085,0.1628521085,166,diff
spain_industrial_production_eurostat_2008_2023,s7_transformed_scoring,2,order_book_assessment,industrial_production,2,-0.1607589302,0.1607589302,165,diff
spain_industrial_production_eurostat_2008_2023,s7_transformed_scoring,3,manufacturing_employment_expectations,industrial_production,3,-0.1296529640,0.1296529640,164,diff
spain_industrial_production_eurostat_2008_2023,s7_transformed_scoring,4,production_expectations,industrial_production,2,-0.0847021087,0.0847021087,165,diff
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,1,retail_employment,retail_volume,1,0.7925208677,0.7925208677,191,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,2,industrial_production,retail_volume,1,0.7905867108,0.7905867108,191,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,3,construction_production,retail_volume,1,0.6203212248,0.6203212248,191,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,4,unemployment_rate,retail_volume,2,-0.5998244268,0.5998244268,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,5,economic_sentiment,retail_volume,2,-0.3155290501,0.3155290501,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,6,industry_confidence,retail_volume,2,-0.3134994211,0.3134994211,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,7,construction_confidence,retail_volume,2,0.2790333163,0.2790333163,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,8,consumer_confidence,retail_volume,2,0.2790333163,0.2790333163,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,9,industry_employment_expectations,retail_volume,2,-0.2721708595,0.2721708595,190,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,10,industrial_turnover,retail_volume,1,0.2716394100,0.2716394100,191,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,11,hicp,retail_volume,1,-0.2546661414,0.2546661414,191,none
spain_retail_eurostat_expanded_2008_2025,legacy_level_scoring,12,employment_expectations,retail_volume,2,-0.1499771111,0.1499771111,190,none
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,1,industrial_production,retail_volume,2,-0.3548560704,0.3548560704,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,2,industrial_turnover,retail_volume,2,-0.3429550472,0.3429550472,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,3,retail_employment,retail_volume,2,-0.2750288747,0.2750288747,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,4,industry_confidence,retail_volume,2,-0.2443479779,0.2443479779,189,diff
spain_retail_eurostat_expanded_2008_2025,s7_transformed_scoring,5,economic_sentiment,retail_volume,2,-0.2435881198,0.2435881198,189,diff
