track,seed,budget_ratio,threshold,retained_relation_count,retained_feature_count,downstream_compute_proxy,downstream_memory_proxy,estimated_memory_bytes,downstream_compute_reduction_pct,downstream_memory_reduction_pct,mae,rmse,mae_loss_pct,rmse_loss_pct,strong_retained,medium_retained,weak_retained,noise_retained
resource_stress,223,0.75,0.1700000000,7,7,14525,14525,116200,50.0000000000,50.0000000000,0.5128948082,0.6258648797,17.3411410457,9.9460833573,3,4,0,0
resource_stress,223,0.50,0.2800000000,4,4,8300,8300,66400,71.4285714286,71.4285714286,0.7550553587,0.9315496569,72.7431354829,63.6459234937,3,1,0,0
resource_stress,223,0.25,0.3900000000,1,1,2075,2075,16600,92.8571428571,92.8571428571,1.0542122884,1.3647914630,141.1848801179,139.7537884363,1,0,0,0
resource_stress,223,0.00,0.5000000000,0,0,0,0,0,100.0000000000,100.0000000000,1.1629377697,1.4442828508,166.0593218818,153.7180913133,0,0,0,0
resource_stress,227,1.00,0.0600000000,12,12,24900,24900,199200,0.0000000000,0.0000000000,0.5299042097,0.6447143518,0.0000000000,0.0000000000,3,4,3,2
resource_stress,227,0.75,0.1700000000,8,8,16600,16600,132800,33.3333333333,33.3333333333,0.6522728226,0.7822107056,23.0925911979,21.3267090226,3,3,2,0
resource_stress,227,0.50,0.2800000000,3,3,6225,6225,49800,75.0000000000,75.0000000000,0.8561777215,1.0309894794,61.5721682990,59.9141505923,3,0,0,0
resource_stress,227,0.25,0.3900000000,2,2,4150,4150,33200,83.3333333333,83.3333333333,0.8970157913,1.1381008499,69.2788573771,76.5279222918,2,0,0,0
resource_stress,227,0.00,0.5000000000,0,0,0,0,0,100.0000000000,100.0000000000,1.0668545729,1.3495405887,101.3297032654,109.3238013020,0,0,0,0
resource_stress,229,1.00,0.0600000000,12,12,24900,24900,199200,0.0000000000,0.0000000000,0.4535734365,0.5692065636,0.0000000000,0.0000000000,3,4,3,2
resource_stress,229,0.75,0.1700000000,9,9,18675,18675,149400,25.0000000000,25.0000000000,0.4713958860,0.5746388707,3.9293415406,0.9543647880,3,4,2,0
resource_stress,229,0.50,0.2800000000,3,3,6225,6225,49800,75.0000000000,75.0000000000,0.7690036184,0.9858248465,69.5433542782,73.1928107364,3,0,0,0
resource_stress,229,0.25,0.3900000000,3,3,6225,6225,49800,75.0000000000,75.0000000000,0.7690036184,0.9858248465,69.5433542782,73.1928107364,3,0,0,0
resource_stress,229,0.00,0.5000000000,0,0,0,0,0,100.0000000000,100.0000000000,1.3920649807,1.7580923449,206.9106055349,208.8671946544,0,0,0,0
resource_stress,233,1.00,0.0600000000,13,13,26975,26975,215800,0.0000000000,0.0000000000,0.5298638151,0.6574580121,0.0000000000,0.0000000000,3,4,4,2
resource_stress,233,0.75,0.1700000000,7,7,14525,14525,116200,46.1538461538,46.1538461538,0.5023725053,0.6515259046,-5.1883727412,-0.9022792995,3,3,1,0
resource_stress,233,0.50,0.2800000000,3,3,6225,6225,49800,76.9230769231,76.9230769231,0.8709711123,1.0585283700,64.3764090906,61.0031896316,3,0,0,0
resource_stress,233,0.25,0.3900000000,2,2,4150,4150,33200,84.6153846154,84.6153846154,0.9213632597,1.1538399778,73.8868051508,75.5001774167,2,0,0,0
resource_stress,233,0.00,0.5000000000,1,1,2075,2075,16600,92.3076923077,92.3076923077,1.1003341215,1.3528421171,107.6635713175,105.7685954181,1,0,0,0
