budget_ratio,threshold,candidate_count,retained_after_threshold_count,admitted_after_cap_count,actual_ols_signal_count,retained_after_threshold_sources,admitted_after_cap_sources,actual_ols_sources,dropped_collinear_sources,fit_status,persistence_mae,persistence_rmse,delta_mae,delta_rmse,mae_change_vs_persistence_pct,rmse_change_vs_persistence_pct,mae_loss_vs_full_budget_pct,rmse_loss_vs_full_budget_pct,downstream_compute_proxy,downstream_memory_proxy,estimated_memory_bytes,test_sample_count
1.00,0.0600000000,12,12,12,11,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;consumer_confidence;industry_employment_expectations;industrial_turnover;hicp;employment_expectations,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;consumer_confidence;industry_employment_expectations;industrial_turnover;hicp;employment_expectations,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;industry_employment_expectations;industrial_turnover;hicp;employment_expectations,consumer_confidence,fit_after_collinearity_backoff,0.8041666667,0.9939399714,1.4291747613,1.7188290417,77.7212138408,72.9308701990,0.0000000000,0.0000000000,4560,4560,36480,24
0.75,0.1700000000,12,11,11,10,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;consumer_confidence;industry_employment_expectations;industrial_turnover;hicp,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;consumer_confidence;industry_employment_expectations;industrial_turnover;hicp,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence;construction_confidence;industry_employment_expectations;industrial_turnover;hicp,consumer_confidence,fit_after_collinearity_backoff,0.8041666667,0.9939399714,1.1786158563,1.4399817640,46.5636297995,44.8761298942,-17.5317191279,-16.2230955482,4180,4180,33440,24
0.50,0.2800000000,12,6,6,6,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence,retail_employment;industrial_production;construction_production;unemployment_rate;economic_sentiment;industry_confidence,,fit,0.8041666667,0.9939399714,1.3420964696,1.6850942013,66.8928252379,69.5368180990,-6.0929071825,-1.9626640958,2280,2280,18240,24
0.25,0.3900000000,12,4,4,4,retail_employment;industrial_production;construction_production;unemployment_rate,retail_employment;industrial_production;construction_production;unemployment_rate,retail_employment;industrial_production;construction_production;unemployment_rate,,fit,0.8041666667,0.9939399714,1.0487395223,1.2624904796,30.4132048516,27.0187854330,-26.6192245522,-26.5493863029,1520,1520,12160,24
0.00,0.5000000000,12,4,4,4,retail_employment;industrial_production;construction_production;unemployment_rate,retail_employment;industrial_production;construction_production;unemployment_rate,retail_employment;industrial_production;construction_production;unemployment_rate,,fit,0.8041666667,0.9939399714,1.0487395223,1.2624904796,30.4132048516,27.0187854330,-26.6192245522,-26.5493863029,1520,1520,12160,24
