case,single_split_test_points,single_split_skill,rolling_folds,rolling_median_skill,rolling_low,rolling_high,rolling_excludes_zero
spain_retail_eurostat_2008_2025,24,-10.372933,93,-5.156893,-6.158828,-3.384948,True
spain_industrial_shock_2008_2021,24,-0.606276,46,-0.247892,-0.643794,0.172123,False
