case,mase_delta,mase_persistence,direction_decided,direction_accuracy,direction_persistence_decided,worst_decile_delta,worst_decile_persistence,change_error_share_delta,change_error_share_persistence
spain_retail_eurostat_2008_2025,5.586551,1.673284,1.000000,0.483871,0.000000,12.974490,8.700000,3.338675,1.000000
spain_industrial_shock_2008_2021,2.543482,2.088287,1.000000,0.652174,0.000000,20.665572,16.375000,1.217976,1.000000
