budget_ratio,threshold,candidate_count,retained_after_threshold_count,admitted_after_cap_count,actual_ols_signal_count,retained_after_threshold_sources,admitted_after_cap_sources,actual_ols_sources,dropped_collinear_sources,fit_status,persistence_mae,persistence_rmse,delta_mae,delta_rmse,mae_change_vs_persistence_pct,rmse_change_vs_persistence_pct,mae_loss_vs_full_budget_pct,rmse_loss_vs_full_budget_pct,downstream_compute_proxy,downstream_memory_proxy,estimated_memory_bytes,test_sample_count
1.00,0.0600000000,4,4,3,3,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations;production_expectations,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations,,fit,1.6541666667,2.0671034485,5.2255843059,6.1617486425,215.9043409126,198.0861285407,0.0000000000,0.0000000000,1485,1485,11880,24
0.75,0.1700000000,4,3,3,3,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations,domestic_energy_producer_prices;order_book_assessment;manufacturing_employment_expectations,,fit,1.6541666667,2.0671034485,5.2255843059,6.1617486425,215.9043409126,198.0861285407,0.0000000000,0.0000000000,1485,1485,11880,24
0.50,0.2800000000,4,1,1,1,domestic_energy_producer_prices,domestic_energy_producer_prices,domestic_energy_producer_prices,,fit,1.6541666667,2.0671034485,5.3774609145,6.1848018222,225.0857983606,199.2013692781,2.9064043316,0.3741337253,495,495,3960,24
0.25,0.3900000000,4,0,0,0,,,,,baseline_only_no_retained_signal,1.6541666667,2.0671034485,,,,,,,0,0,0,24
0.00,0.5000000000,4,0,0,0,,,,,baseline_only_no_retained_signal,1.6541666667,2.0671034485,,,,,,,0,0,0,24
